year,surveyID,beachID,beach_name,beach_county,beach_region,lat,lon,survey_window,wind_direction,wind_strength,sea_state,tot_survey_hours,number_volunteers,length_surveyed_metres,lighters_tobacco_pouches,cigarette_packets,cigarette_stubs
2008,46210,3315,Selsey East Beach 6,West Sussex,South East England,50.73489337,-0.771574974,GBBC,Onshore,Light,Moderate,2,3,100,0,0,0
2008,46211,3562,Selsey East Beach 8,West Sussex,South East England,50.735715,-0.770791769,GBBC,Onshore,Light,Moderate,2,3,100,2,1,4
2008,46212,3145,Selsey East Beach A,West Sussex,South East England,50.73136673,-0.771366051,GBBC,Onshore,Light,Moderate,2,3,100,0,0,0
2008,46213,3146,Selsey East Beach B,West Sussex,South East England,50.73048249,-0.77280631,GBBC,Onshore,Light,Calm,2,4,100,0,0,0
2008,46214,3148,Selsey East Beach D,West Sussex,South East England,50.72961312,-0.775663225,GBBC,Onshore,Light,Moderate,2,5,100,2,0,4
2008,46215,3150,Selsey East Beach F,West Sussex,South East England,50.72782966,-0.777126761,GBBC,Onshore,Light,Moderate,2,4,100,1,2,0
2008,46216,3153,Selsey East Beach I,West Sussex,South East England,50.72696018,-0.779983435,GBBC,Onshore,Light,Moderate,2,3,100,0,4,0
2008,46217,3154,Selsey East Beach J,West Sussex,South East England,50.72604618,-0.778590184,GBBC,Onshore,Light,Moderate,2,5,100,1,0,0
2008,31619,2599,Castletown,Isle of Man,North West England,54.0759377,-4.644586811,GBBC,,,,1,2,100,0,0,0
2008,31468,2835,Ballochmartin,Isle of Cumbrae,Scotland,55.77208478,-4.900263177,GBBC,Offshore,Light,Moderate,0.75,12,100,2,1,0
2008,31585,3185,Whitley Sands,Tyne & Wear,North East England,55.0455075,-1.440088749,GBBC,Onshore,Light,Calm,2.5,14,100,3,6,366
2008,31662,2956,Grunta,Devon,South West England,51.18266768,-4.217983873,GBBC,Onshore,Light,Calm,0.75,2,100,2,0,0
2008,31324,2530,Rhossili,Swansea,Wales,51.57255265,-4.288876397,GBBC,Onshore,Light,Calm,2.5,12,100,6,0,11
2008,46222,3019,Horden Point,County Durham,North East England,54.77335419,-1.305946112,GBBC,Offshore,Light,Moderate,1,4,100,4,0,1
2008,31594,3241,East Looe,Cornwall,South West England,50.35154672,-4.45232749,GBBC,,Light,Moderate,1.5,22,100,5,2,7
2008,31395,3119,Newton,Bridgend,Wales,51.479565,-3.673811,GBBC,Offshore,Light,Calm,1.5,27,100,3,0,18
2008,31501,2130,Lunderston Bay,Inverclyde,Scotland,55.92119534,-4.874700308,GBBC,,,,1,2,100,0,0,1
2008,31360,2198,Tan-y-Bwlch,Ceredigion,Wales,52.40365506,-4.089061404,GBBC,Onshore,Strong,Moderate,2.5,3,100,1,0,0
2008,31502,2587,Spey Bay,Moray,Scotland,57.672825,-3.084803,GBBC,Onshore,Light,Calm,2,10,100,1,0,0
2008,31510,2700,Plumpudding (Minnis Bay),Kent,South East England,51.37757276,1.266575604,GBBC,Offshore,Light,Calm,2.75,18,100,1,0,2
2008,31609,2570,Instow,Devon,South West England,51.05472566,-4.181893094,GBBC,,,Calm,2,18,100,2,3,21
2008,31374,3201,Aldeburgh (Fort Green - north),Suffolk,South East England,52.14721963,1.601396799,GBBC,Onshore,Light,Calm,0.33,14,100,0,0,2
2008,31401,3140,Meal Beach,Shetland,Scotland,60.10120015,-1.327983141,GBBC,,Strong,Moderate,1.5,13,100,0,0,0
2008,31516,2539,Severn River Bank,Gloucestershire,South West England,51.5588026,-2.667951904,GBBC,Onshore,Light,Calm,2.5,5,100,2,0,0
2008,31714,3459,Kennack Sands,Cornwall,South West England,50.00562902,-5.162061453,GBBC,,Light,Calm,2,60,100,3,3,149
2008,31686,2394,Eastney,Hampshire,South East England,50.78399603,-1.050841212,GBBC,Offshore,Light,Calm,1.83,5,100,0,1,20
2008,31518,2775,Worbarrow,Dorset  ,South West England,50.62126138,-2.19155252,GBBC,,Light,Calm,2,42,100,0,0,0
2008,31570,3366,Sinah Common,Hampshire,South East England,50.79224205,-1.024507284,GBBC,Onshore,Light,Calm,2,32,100,18,4,11
2008,31709,3164,"Kilkerran, Davaar Island and the Dhorlin",Argyll and Bute,Scotland,55.41929251,-5.560416004,GBBC,,,,2,30,100,3,0,0
2008,31754,3135,Church Cove,Cornwall,South West England,49.97138729,-5.188041329,GBBC,,,,2,15,100,2,0,42
2008,46241,3451,Dollar Cove,Cornwall,South West England,49.96817901,-5.188233619,GBBC,,,,2,15,100,5,1,21
2008,31393,2128,Cold Knap Beach,Vale of Glamorgan,Wales,51.38971312,-3.296123743,GBBC,,,,1.5,6,100,3,1,4
2008,31476,2887,Felpham (Summerley),West Sussex,South East England,50.78632583,-0.63898294,GBBC,Offshore,Light,Calm,1,2,100,8,0,0
2008,31482,2819,Portchester,Hampshire,South East England,50.83821117,-1.130654699,GBBC,Onshore,Light,Calm,3,20,100,9,0,0
2008,31745,2852,Auchmithie,Angus,Scotland,56.59018577,-2.519850859,GBBC,,Light,Calm,2.5,7,100,2,4,0
2008,31478,3450,Tidemills,East Sussex,South East England,50.7825376,0.068085194,GBBC,,Light,Calm,1.25,3,100,0,1,0
2008,31606,3396,Gansey Beach,Isle of Man,North West England,54.08303297,-4.725478228,GBBC,,Light,Calm,1,4,100,0,0,0
2008,31330,2903,Three Cliffs Bay,Swansea,Wales,51.57260205,-4.11375761,GBBC,,Light,Calm,2,12,100,8,5,0
2008,31417,2653,Walpole,Kent,South East England,51.39160226,1.405616732,GBBC,,Light,Calm,1.33,5,100,2,0,45
2008,31443,2206,Pinnacle Point,East Sussex,South East England,50.75059011,0.270629525,GBBC,,,Calm,1,6,100,0,0,1
2008,31561,2235,Gullane Bents,East Lothian,Scotland,56.040802,-2.838327,GBBC,,,,1,6,100,4,0,4
2008,31316,2989,"Stradling Steps Beach, St Donats",Vale of Glamorgan,Wales,51.39949348,-3.531551957,GBBC,,Light,Calm,1,2,100,0,0,2
2008,31629,2453,Fermain Bay,Guernsey,Channel Islands,49.43576164,-2.536071539,GBBC,Onshore,,Moderate,1,4,100,0,0,5
2008,31521,2877,Minehead,Somerset,South West England,51.20762278,-3.461101055,GBBC,,Light,Calm,1,11,100,0,0,0
2008,31647,2429,Saint's Bay,Guernsey,Channel Islands,49.423034,-2.557303905,GBBC,Offshore,Light,Calm,1,10,100,0,0,4
2008,31652,3519,Grande Greve,Sark,Channel Islands,49.42052158,-2.367339134,GBBC,Offshore,Strong,Moderate,3,4,100,2,0,0
2008,31767,3442,Swanbridge Bay,Vale of Glamorgan,Wales,51.39968059,-3.196565509,GBBC,Offshore,Light,Calm,1,6,100,0,40,36
2008,31388,3041,Swansea Bay,Swansea,Wales,51.61782963,-3.864955698,GBBC,,,Calm,3,15,100,2,1,52
2008,31675,2173,Sand Bay,Somerset,South West England,51.37673635,-2.961770296,GBBC,,Light,Calm,1.5,25,100,9,1,18
2008,31676,2676,Sand Bay North,Somerset,South West England,51.38343946,-2.962800264,GBBC,,Light,Calm,1.5,25,100,111,0,10
2008,31727,3094,Bamburgh (Picnic Bay),Northumberland,North East England,55.61096143,-1.711049978,GBBC,,Light,Moderate,1,1,100,5,0,0
2008,31728,3585,Mill Burn,Northumberland,North East England,55.659092,-1.85816,GBBC,,,Rough,2.5,3,100,0,0,0
2008,31421,3270,Pennan Head,Aberdeenshire,Scotland,57.68263317,-2.246940136,GBBC,Offshore,Light,Moderate,1,10,100,7,0,0
2008,31530,3431,Seatown East,Dorset,South West England,50.72041065,-2.818148732,GBBC,,Light,Calm,2,3,100,0,0,0
2008,31642,2456,Petit Bot,Guernsey,Channel Islands,49.42516946,-2.581561804,GBBC,Offshore,Light,Calm,0.5,1,100,0,0,3
2008,31328,2099,West Angle Bay,Pembrokeshire,Wales,51.68683831,-5.107904782,GBBC,Onshore,,Moderate,2,4,100,4,1,7
2008,31422,2981,Arbroath West,Angus,Scotland,56.55644933,-2.579410672,GBBC,,,,1.75,10,100,0,0,0
2008,31519,3508,Eype Mouth,Dorset,South West England,50.71518,-2.782166,GBBC,,Light,Moderate,1.5,10,100,2,0,0
2008,31562,2396,Burnmouth Bay,Scottish Borders,Scotland,55.842399,-2.069654,GBBC,,Light,Calm,2,24,100,0,0,0
2008,31664,3454,Slapton Sands,Devon,South West England,50.28661783,-3.644242287,GBBC,Offshore,Light,Moderate,1,5,100,0,0,6
2008,31721,2284,Jackson's Bay,Vale of Glamorgan,Wales,51.39223037,-3.264666796,GBBC,Onshore,Light,Calm,1.5,6,100,0,0,19
2008,31319,3354,Ynyslas beach 2 (Estuary),Ceredigion,Wales,52.52937234,-4.047840337,GBBC,Onshore,Light,Calm,1.17,5,100,1,4,61
2008,31320,2525,Ynyslas beach 1,Ceredigion,Wales,52.52559935,-4.05798534,GBBC,Onshore,Light,Calm,0.5,10,100,1,0,7
2008,31542,2742,St Marys Beach,Devon,South West England,50.38456801,-3.502417081,GBBC,Onshore,Light,Calm,2.5,17,100,3,3,0
2008,31666,2931,Portreath,Cornwall,South West England,50.26145959,-5.294884443,GBBC,Offshore,Light,Moderate,2,5,100,2,2,120
2008,31314,2397,Penarth,Vale of Glamorgan,Wales,51.43572483,-3.166905641,GBBC,,,,2,2,100,0,5,4
2008,31329,2892,Broughton,Vale of Glamorgan,Wales,51.42502781,-3.582325406,GBBC,,Light,Calm,1,3,100,0,0,1
2008,31495,2377,Fintray Bay,Isle of Cumbrae,Scotland,55.76852241,-4.936678684,GBBC,Onshore,Light,Moderate,0.75,8,100,0,0,9
2008,31628,2597,L'Eree Shingle Bank,Guernsey,Channel Islands,49.4608,-2.6486,GBBC,Offshore,Strong,Moderate,2,3,100,1,0,0
2008,31419,3500,Kingsdown 2 ,Kent,South East England,51.18577989,1.398997643,GBBC,,Light,Moderate,1.5,32,100,10,3,0
2008,31354,3371,Erwarton foreshore (north shore of the Stour),Suffolk,South East England,51.95921597,1.24757183,GBBC,Onshore,Light,Moderate,1.5,14,100,0,1,0
2008,31410,2553,Aberlady Bay,East Lothian,Scotland,56.01708994,-2.871122762,GBBC,Onshore,Light,Calm,0.33,1,100,0,0,0
2008,31505,3549,Braidon Bay,Aberdeenshire,Scotland,56.88751617,-2.218886912,GBBC,,,Moderate,1.83,33,100,2,0,2
2008,31454,3121,South Swale,Kent,South East England,51.34507,0.955981,GBBC,,Light,Calm,1.5,3,100,4,0,3
2008,31458,2320,West Beach,East Sussex,South East England,50.781049,0.053073,GBBC,,Light,Calm,1,6,100,3,0,0
2008,31456,3261,Grain,Kent,South East England,51.45991871,0.719506712,GBBC,,,Moderate,1.5,6,100,1,5,2
2008,31751,3180,Porthallow,Cornwall,South West England,50.06909514,-5.080200434,Autumn 2008,,,,0,15,100,3,1,10
2008,46240,2496,Porthoustock,Cornwall,South West England,50.05430312,-5.063982995,Autumn 2008,,,,0,15,100,3,2,4
2008,31381,2076,Temple,Fife,Scotland,56.209018,-2.958633,Autumn 2008,,,,1,10,100,0,0,0
2008,46238,2526,Porthtowan,Cornwall,South West England,50.28825058,-5.241907558,Autumn 2008,,,,0,15,100,1,1,12
2008,46239,3177,Holywell Bay,Cornwall,South West England,50.39308942,-5.146107673,Autumn 2008,,,,0,15,100,0,1,62
2008,46242,2097,Chapel Porth,Cornwall,South West England,50.30129247,-5.235618353,Autumn 2008,,,,0,15,100,0,0,58
2008,31380,2520,Coldingham Sands,Scottish Borders,Scotland,55.892182,-2.133907,Autumn 2008,Offshore,Light,Calm,0.5,6,100,1,0,0
2008,31572,2254,Linkim Shore,Scottish Borders,Scotland,55.88474722,-2.126530409,Autumn 2008,Offshore,Light,Calm,0.5,6,100,1,0,0
2008,31749,2121,Swanpool,Cornwall,South West England,50.13989978,-5.075555548,Autumn 2008,,,,0,15,100,0,3,7
2008,31750,2950,Maenporth,Cornwall,South West England,50.12538631,-5.093568563,Autumn 2008,,,,0,15,100,12,3,17
2008,46237,3451,Dollar Cove,Cornwall,South West England,49.96817901,-5.188233619,Autumn 2008,Offshore,Light,Calm,0,14,100,0,0,6
2008,31747,3135,Church Cove,Cornwall,South West England,49.97138729,-5.188041329,Autumn 2008,,Light,Calm,1,15,100,1,0,17
2008,46243,2631,Gunwalloe Fishing Cove,Cornwall,South West England,50.05653261,-5.280057192,Autumn 2008,Offshore,Light,Calm,1.5,14,100,1,0,0
2008,31748,2627,Poldhu,Cornwall,South West England,50.03354791,-5.26255846,Autumn 2008,Offshore,Light,Calm,0,15,100,5,0,8
2008,46236,2629,Mullion Cove,Cornwall,South West England,50.01301871,-5.258221733,Autumn 2008,Onshore,Light,Calm,1,15,100,0,0,13
2008,31746,2496,Porthoustock,Cornwall,South West England,50.05430312,-5.063982995,Autumn 2008,Onshore,,Calm,0,15,100,3,4,1
2008,46252,3180,Porthallow,Cornwall,South West England,50.06909514,-5.080200434,Autumn 2008,Offshore,Strong,Moderate,1,15,100,4,1,5
2008,31765,3181,Trevaunance,Cornwall,South West England,50.0588309,-5.062874095,Autumn 2008,Onshore,,Rough,0,15,100,0,0,0
2008,31764,2526,Porthtowan,Cornwall,South West England,50.28825058,-5.241907558,Autumn 2008,Onshore,Strong,Rough,1,15,100,7,0,7
2008,31435,2611,Shoreham Beach ,West Sussex,South East England,50.82645586,-0.249576499,Autumn 2008,,,Calm,1.5,49,100,5,2,1
2008,31757,3332,Soar Mill Cove,Devon,South West England,50.22246476,-3.829606465,Autumn 2008,,Light,Calm,0,11,100,0,1,1
2008,31723,3048,Babbacombe Beach,Devon,South West England,50.4792747,-3.509740233,Autumn 2008,Offshore,Light,Moderate,5,30,100,3,2,11
2008,31758,3580,Langdon,Devon,South West England,50.58827748,-3.453011513,Autumn 2008,,Light,Calm,0,10,100,4,2,2
2008,46244,2333,Wembury,Devon,South West England,50.31626827,-4.081865983,Autumn 2008,,Light,Calm,0,10,100,1,0,7
2008,31760,3495,Wonwell,Devon,South West England,50.30878657,-3.942478851,Autumn 2008,,Light,Calm,0,11,100,1,0,1
2008,46247,3581,Meadowsfoot,Devon,South West England,50.30878657,-3.942478851,Autumn 2008,,Light,Calm,0,11,100,1,0,4
2008,46248,3493,Aymer,Devon,South West England,50.29408252,-3.90958786,Autumn 2008,,Light,Calm,0,11,100,1,0,1
2008,31761,3332,Soar Mill Cove,Devon,South West England,50.22246476,-3.829606465,Autumn 2008,,Light,Calm,0,12,100,1,0,1
2008,31763,3244,Batten Bay,Devon,South West England,50.35751289,-4.126444459,Autumn 2008,,Light,Calm,0,10,100,1,0,1
2008,46251,2180,Jennycliffe BEACH,Devon,South West England,50.35063693,-4.121328351,Autumn 2008,,Light,Calm,0,12,100,2,0,2
2008,46249,3580,Langdon,Devon,South West England,50.58827748,-3.453011513,Autumn 2008,,Light,Calm,0,12,100,2,0,1
2008,46250,2333,Wembury,Devon,South West England,50.31626827,-4.081865983,Autumn 2008,,Light,Calm,0,12,100,3,2,9
2008,31487,2356,Killiedraughts Bay,Scottish Borders,Scotland,55.8754914,-2.10393548,Autumn 2008,Offshore,Strong,Rough,0.75,14,100,0,2,0
2008,31707,3443,Bamburgh Castle North,Northumberland,North East England,55.61275867,-1.711036763,Autumn 2008,,Strong,Moderate,1.5,9,100,0,1,4
2008,31511,3483,Whiting Bay Beach,Ayrshire - North,Scotland,55.489281,-5.094167,Autumn 2008,,Strong,Moderate,0.75,13,100,0,0,2
2008,31708,3341,Fairbourne,Gwynedd,Wales,52.69916381,-4.057261218,Autumn 2008,Onshore,Strong,Moderate,1,8,100,0,0,0
2008,31732,2284,Jackson's Bay,Vale of Glamorgan,Wales,51.39223037,-3.264666796,Autumn 2008,Onshore,Light,Calm,1,4,100,0,0,12
2008,31733,2382,Silverburn,Fife,Scotland,56.20595412,-2.970520132,Winter 2008,Onshore,Strong,Moderate,1.17,5,100,0,1,0
