ID,Country,Area,Individual wind farm ID,Lat,Long,Spp level,Order or class,Common name,Genus,Species,All species studied?,Duration (years),Total period (d),Metrics,Value,Quality,Correction factor used?,Estimation of value,Buffer area m2,Main habitat,Habitat detail,N wind farms,N turbines,Per turbine output (MW)
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Virginia Rail,Rallus,limicola,Y,2,365,Annual mortality per turbine,0.030708,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Sora,Porzana,carolina,Y,2,365,Annual mortality per turbine,0.030708,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Mourning Dove,Zenaida ,macroura,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Rock Dove,Columba,livia,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Barn Owl,Tyto,alba,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,White-throated Swift,Aeronautes ,saxatalis,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Northern Flicker,Colaptes ,auratus,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Western Wood-pewee,Contopus,sordidulus,Y,2,365,Annual mortality per turbine,0.010242,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,2,aves,Empidonax species,,,Y,2,365,Annual mortality per turbine,0.010242,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Warbling Vireo,Vireo,gilvus,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
